C,DBE 1,DBE,H,KMD,N,O,S,class,intensity 1,intensity,isotope kind,m/z,ppm,s/n,theo
14,5,5,19,0.105639844,,2,,O2,4214081,4214081,,219.13905,0.012685553,7.1,219.1390528
9,8,8,5,0.226398767,2,5,,N2O5,4115582,4115582,,221.02057,-0.793682865,6.9,221.0203946
10,7,7,8,0.207137156,1,5,,N1O5,3887415,3887415,,222.04065,0.655644831,6.4,222.0407956
12,7,7,11,0.201274852,,5,,O5,4553424,4553424,,235.06131,-0.482513072,8.5,235.0611966
11,7,7,9,0.224220317,,6,,O6,4475101,4475101,,237.04051,-0.205956822,8.4,237.0404612
13,5,5,17,0.151530773,,4,,O4,4000883,4000883,,237.1133,-0.286867584,7.2,237.113232
11,6,6,11,0.210821009,,6,,O6,3505872,3505872,,239.05617,-0.246051438,6.1,239.0561112
12,5,5,15,0.174476238,,5,,O5,7134676,7134676,,239.09253,-0.139778958,15,239.0924966
11,5,5,13,0.197421702,,6,,O6,7279995,7279995,,241.07174,0.087857242,15.5,241.0717612
11,4,4,15,0.184022395,,6,,O6,4635998,4635998,,243.08735,0.251678603,9.1,243.0874112
13,9,9,9,0.228073467,,5,,O5,4541565,4541565,,245.04549,0.230895443,9,245.0455466
14,8,8,13,0.191728695,,4,,O4,6191625,6191625,,245.08177,0.660921426,13.2,245.081932
15,7,7,17,0.155383923,,3,,O3,3628115,3628115,,245.11843,-0.459451995,6.7,245.1183174
12,9,9,7,0.251018931,,6,,O6,4438380,4438380,,247.02486,-0.197632375,8.8,247.0248112
13,8,8,11,0.214674159,,5,,O5,6192329,6192329,,247.06117,0.107584276,13.3,247.0611966
14,7,7,15,0.178329388,,4,,O4,6610215,6610215,,247.09762,-0.153866742,14.4,247.097582
15,6,6,19,0.141984616,,3,,O3,5306404,5306404,,247.13402,-0.212921358,11.1,247.1339674
12,8,8,9,0.237619624,,6,,O6,4666454,4666454,,249.04058,-0.477111629,9.4,249.0404612
13,7,7,13,0.201274852,,5,,O5,9103143,9103143,,249.0769,-0.214472364,20.8,249.0768466
14,6,6,17,0.16493008,,4,,O4,6762761,6762761,,249.11332,-0.3533337,14.8,249.113232
15,5,5,21,0.128585309,,3,,O3,4124730,4124730,,249.14968,-0.251335325,8.1,249.1496174
12,7,7,11,0.224220317,,6,,O6,5888927,5888927,,251.05618,-0.274122385,12.7,251.0561112
13,6,6,15,0.187875545,,5,,O5,11598119,11598119,,251.09255,-0.212750682,27.5,251.0924966
14,5,5,19,0.151530773,,4,,O4,8237775,8237775,,251.12895,-0.270857336,18.8,251.128882
11,7,7,9,0.247165781,,7,,O7,5779719,5779719,,253.03539,-0.056198071,12.6,253.0353758
12,6,6,13,0.210821009,,6,,O6,9114423,9114423,,253.07188,-0.469511491,21.3,253.0717612
13,5,5,17,0.174476238,,5,,O5,12376071,12376071,,253.10821,-0.250565226,29.9,253.1081466
11,6,6,11,0.233766474,,7,,O7,7074417,7074417,,255.05101,0.061869581,16.2,255.0510258
15,10,10,11,0.218527309,,4,,O4,5157772,5157772,,255.06626,0.086173287,11.1,255.066282
12,5,5,15,0.197421702,,6,,O6,18386604,18386604,,255.08743,-0.073779023,46.1,255.0874112
13,4,4,19,0.161076931,,5,,O5,10731719,10731719,,255.12378,0.064987666,25.9,255.1237966
14,3,3,23,0.124732159,,4,,O4,33040291,33040291,,255.16019,-0.031431628,84.8,255.160182
16,1,1,31,0.052042615,,2,,O2,64801626,64801626,,255.233,-0.185007851,168.8,255.2329528
14,10,10,9,0.241472774,,5,,O5,5655726,5655726,,257.04555,-0.013305424,12.6,257.0455466
11,5,5,13,0.220367167,,7,,O7,11036598,11036598,,257.06667,0.02248405,27,257.0666758
15,9,9,13,0.205128002,,4,,O4,7199350,7199350,,257.08193,0.007701436,16.7,257.081932
12,4,4,17,0.184022395,,6,,O6,10404382,10404382,,257.10306,0.00458921,25.3,257.1030612
16,8,8,17,0.16878323,,3,,O3,4309518,4309518,,257.11833,-0.049082851,9,257.1183174
13,10,10,7,0.264418238,,6,,O6,4337372,4337372,,259.02492,-0.420114581,9.2,259.0248112
14,9,9,11,0.228073467,,5,,O5,7913923,7913923,,259.06125,-0.20620649,18.9,259.0611966
11,4,4,15,0.20696786,,7,,O7,4858483,4858483,,259.08245,-0.479461884,10.6,259.0823258
15,8,8,15,0.191728695,,4,,O4,5765115,5765115,,259.09764,-0.223931461,13.1,259.097582
16,7,7,19,0.155383923,,3,,O3,4670674,4670674,,259.13406,-0.357421688,10.1,259.1339674
12,10,10,5,0.287363703,,7,,O7,3780063,3780063,,261.00399,0.328653489,7.7,261.0040758
13,9,9,9,0.251018931,,6,,O6,7753736,7753736,,261.04045,0.042828226,18.5,261.0404612
14,8,8,13,0.214674159,,5,,O5,15242704,15242704,,261.07686,-0.051402873,38.8,261.0768466
15,7,7,17,0.178329388,,4,,O4,12958298,12958298,,261.11323,0.007582534,32.6,261.113232
16,6,6,21,0.141984616,,3,,O3,4175619,4175619,,261.14967,-0.201494073,8.8,261.1496174
12,9,9,7,0.273964396,,7,,O7,8666747,8666747,,263.01978,-0.206144615,21,263.0197258
13,8,8,11,0.237619624,,6,,O6,14161623,14161623,,263.0562,-0.337646974,35.8,263.0561112
14,7,7,15,0.201274852,,5,,O5,21268596,21268596,,263.09256,-0.241056286,55.1,263.0924966
15,6,6,19,0.16493008,,4,,O4,17869713,17869713,,263.1289,-0.06848393,45.9,263.128882
11,9,9,5,0.29690986,,8,,O8,4678994,4678994,,264.99894,0.190113555,10.2,264.9989904
12,8,8,9,0.260565088,,7,,O7,11888193,11888193,,265.03537,0.021808032,29.7,265.0353758
13,7,7,13,0.224220317,,6,,O6,21791344,21791344,,265.07178,-0.071000019,56.5,265.0717612
17,11,11,13,0.208981152,,3,,O3,3537039,3537039,,265.08702,-0.009883924,7.1,265.0870174
14,6,6,17,0.187875545,,5,,O5,30483872,30483872,,265.10816,-0.050621228,80,265.1081466
15,5,5,21,0.151530773,,4,,O4,13563345,13563345,,265.14454,-0.030248031,34.2,265.144532
12,7,7,12,0.230082621,1,6,,N1O6,3175724,3175724,,266.0671,-0.337584505,6.1,266.0670102
11,8,8,7,0.283510553,,8,,O8,8163467,8163467,,267.01472,-0.298186271,19.6,267.0146404
12,7,7,11,0.247165781,,7,,O7,15213388,15213388,,267.05105,-0.090694653,38.7,267.0510258
16,11,11,11,0.231926616,,4,,O4,4331922,4331922,,267.06639,-0.404469255,9.3,267.066282
13,6,6,15,0.210821009,,6,,O6,41243534,41243534,,267.08743,-0.070464197,109,267.0874112
14,5,5,19,0.174476238,,5,,O5,32994895,32994895,,267.12383,-0.125110905,86.7,267.1237966
18,9,9,19,0.159237073,,2,,O2,3262901,3262901,,267.13913,-0.289063314,6.4,267.1390528
15,4,4,23,0.138131466,,4,,O4,5472433,5472433,,267.16024,-0.217173456,12.3,267.160182
11,7,7,9,0.270111246,,8,,O8,9557433,9557433,,269.03028,0.038582644,23.4,269.0302904
15,11,11,9,0.254872081,,5,,O5,6980517,6980517,,269.04551,0.135961738,16.4,269.0455466
12,6,6,13,0.233766474,,7,,O7,28822794,28822794,,269.06667,0.021481293,75.4,269.0666758
16,10,10,13,0.218527309,,4,,O4,4889655,4889655,,269.08195,-0.066968822,10.8,269.081932
13,5,5,17,0.197421702,,6,,O6,50037724,50037724,,269.10307,-0.032775919,132.7,269.1030612
17,9,9,17,0.182182537,,3,,O3,4630441,4630441,,269.11834,-0.084052621,10.1,269.1183174
14,4,4,21,0.161076931,,5,,O5,13251694,13251694,,269.13946,-0.049862999,33.4,269.1394466
18,8,8,21,0.145837766,,2,,O2,3306891,3306891,,269.15467,0.121788323,6.5,269.1547028
17,1,1,33,0.052042615,,2,,O2,3503782,3503782,,269.24878,-0.658202487,7,269.2486028
14,11,11,7,0.277817545,,6,,O6,6395770,6395770,,271.02484,-0.106337497,14.8,271.0248112
11,6,6,11,0.256711939,,8,,O8,11598280,11598280,,271.04608,-0.515115998,28.9,271.0459404
15,10,10,11,0.241472774,,5,,O5,10087803,10087803,,271.06127,-0.270861713,24.8,271.0611966
12,5,5,15,0.220367167,,7,,O7,30190761,30190761,,271.08238,-0.200013409,79.1,271.0823258
16,9,9,15,0.205128002,,4,,O4,9083739,9083739,,271.09772,-0.509115939,22.1,271.097582
13,4,4,19,0.184022395,,6,,O6,16538761,16538761,,271.11876,-0.180069091,42.2,271.1187112
17,8,8,19,0.16878323,,3,,O3,5557020,5557020,,271.13397,-0.009663488,12.6,271.1339674
14,3,3,23,0.147677623,,5,,O5,5500906,5500906,,271.15512,-0.086371602,12.4,271.1550966
13,11,11,5,0.30076301,,7,,O7,5631300,5631300,,273.00403,0.167689438,12.8,273.0040758
14,10,10,9,0.264418238,,6,,O6,13943026,13943026,,273.04042,0.150819772,35.2,273.0404612
18,14,14,9,0.249179073,,3,,O3,3440026,3440026,,273.0555,0.796100891,6.9,273.0557174
11,5,5,13,0.243312631,,8,,O8,10038375,10038375,,273.06152,0.257743683,24.7,273.0615904
15,9,9,13,0.228073467,,5,,O5,15673312,15673312,,273.07682,0.097334872,39.9,273.0768466
12,4,4,17,0.20696786,,7,,O7,11176917,11176917,,273.09795,0.09439799,27.8,273.0979758
16,8,8,17,0.191728695,,4,,O4,12379853,12379853,,273.11322,0.043864224,31,273.113232
17,7,7,21,0.155383923,,3,,O3,5842972,5842972,,273.14958,0.136847711,13.3,273.1496174
13,10,10,7,0.287363703,,7,,O7,9902414,9902414,,275.01975,-0.088066774,24.3,275.0197258
10,5,5,11,0.266258096,,9,,O9,3184730,3184730,,275.04116,-1.108999243,6.2,275.040855
14,9,9,11,0.251018931,,6,,O6,21588807,21588807,,275.05615,-0.141135203,55.8,275.0561112
18,13,13,11,0.235779766,,3,,O3,3422820,3422820,,275.07147,-0.373067182,6.8,275.0713674
11,4,4,15,0.229913324,,8,,O8,3507299,3507299,,275.07736,-0.434860041,7,275.0772404
15,8,8,15,0.214674159,,5,,O5,28030401,28030401,,275.09255,-0.194189593,73.2,275.0924966
16,7,7,19,0.178329388,,4,,O4,19706298,19706298,,275.12895,-0.247229951,50.8,275.128882
17,6,6,23,0.141984616,,3,,O3,5720885,5720885,,275.16534,-0.263914486,13,275.1652674
14,8,8,14,0.220536463,1,5,,N1O5,3458430,3458430,,276.08791,-0.595535668,6.9,276.0877456
13,9,9,9,0.273964396,,7,,O7,17376260,17376260,,277.0354,-0.087426019,44.5,277.0353758
14,8,8,13,0.237619624,,6,,O6,33922440,33922440,,277.0718,-0.140108468,89.1,277.0717612
15,7,7,17,0.201274852,,5,,O5,45860492,45860492,,277.10817,-0.084516101,121.4,277.1081466
16,6,6,21,0.16493008,,4,,O4,18257552,18257552,,277.14453,0.007143926,46.9,277.144532
13,8,8,12,0.243481928,1,6,,N1O6,4120532,4120532,,278.0671,-0.323016024,8.7,278.0670102
12,9,9,7,0.29690986,,8,,O8,13408712,13408712,,279.01459,0.180563643,33.7,279.0146404
13,8,8,11,0.260565088,,7,,O7,26840149,26840149,,279.05097,0.199891399,70,279.0510258
17,12,12,11,0.245325924,,4,,O4,6469850,6469850,,279.0662,0.293764977,15,279.066282
14,7,7,15,0.224220317,,6,,O6,55925858,55925858,,279.08735,0.219214115,148.5,279.0874112
18,11,11,15,0.208981152,,3,,O3,3422055,3422055,,279.10269,-0.081045804,6.8,279.1026674
15,6,6,19,0.187875545,,5,,O5,65328751,65328751,,279.12374,0.202705397,173.8,279.1237966
16,5,5,23,0.151530773,,4,,O4,7127100,7127100,,279.16013,0.186200982,16.8,279.160182
18,3,3,31,0.07884123,,2,,O2,3648519,3648519,,279.23303,-0.27654365,7.4,279.2329528
13,7,7,14,0.230082621,1,6,,N1O6,4310425,4310425,,280.08262,0.143457292,9.2,280.0826602
11,9,9,5,0.319855325,,9,,O9,3380294,3380294,,280.99396,-0.195805315,6.7,280.993905
12,8,8,9,0.283510553,,8,,O8,18139866,18139866,,281.03025,0.143685223,46.5,281.0302904
16,12,12,9,0.268271388,,5,,O5,4920035,4920035,,281.0456,-0.190076309,10.8,281.0455466
13,7,7,13,0.247165781,,7,,O7,42966510,42966510,,281.06666,0.056142906,113.5,281.0666758
17,11,11,13,0.231926616,,4,,O4,8046455,8046455,,281.08195,-0.064109777,19.3,281.081932
14,6,6,17,0.210821009,,6,,O6,99528707,99528707,,281.10307,-0.031376748,266,281.1030612
18,10,10,17,0.195581845,,3,,O3,4551019,4551019,,281.11838,-0.222753539,9.8,281.1183174
15,5,5,21,0.174476238,,5,,O5,51107863,51107863,,281.13946,-0.047734675,135.4,281.1394466
18,2,2,33,0.065441923,,2,,O2,8764949,8764949,,281.24868,-0.274561719,21.2,281.2486028
12,7,7,12,0.253028085,1,7,,N1O7,3935364,3935364,,282.06206,-0.479398629,8.2,282.0619248
13,6,6,16,0.216683313,1,6,,N1O6,3168572,3168572,,282.09844,-0.460194532,6.1,282.0983102
11,8,8,7,0.306456017,,9,,O9,5603593,5603593,,283.00966,-0.371083231,12.7,283.009555
15,12,12,7,0.291216853,,6,,O6,6525716,6525716,,283.02488,-0.243159247,15.2,283.0248112
12,7,7,11,0.270111246,,8,,O8,22771427,22771427,,283.04603,-0.316627399,59,283.0459404
16,11,11,11,0.254872081,,5,,O5,10886894,10886894,,283.06124,-0.153394745,26.9,283.0611966
13,6,6,15,0.233766474,,7,,O7,81010941,81010941,,283.0824,-0.262185567,216,283.0823258
17,10,10,15,0.218527309,,4,,O4,8534088,8534088,,283.09769,-0.381564898,20.6,283.097582
14,5,5,19,0.197421702,,6,,O6,80128792,80128792,,283.11879,-0.278399473,213.6,283.1187112
18,9,9,19,0.182182537,,3,,O3,4541859,4541859,,283.13395,0.061384016,9.8,283.1339674
15,4,4,23,0.161076931,,5,,O5,12306098,12306098,,283.1552,-0.365241881,30.7,283.1550966
19,8,8,23,0.145837766,,2,,O2,3181597,3181597,,283.17028,0.257018079,6.1,283.1703528
18,1,1,35,0.052042615,,2,,O2,85728642,85728642,,283.26428,-0.09609437,228.7,283.2642528
14,12,12,5,0.314162317,,7,,O7,4314145,4314145,,285.00433,-0.891987594,9.2,285.0040758
11,7,7,9,0.29305671,,9,,O9,7154034,7154034,,285.02515,0.192894871,16.8,285.025205
15,11,11,9,0.277817545,,6,,O6,11347071,11347071,,285.04048,-0.066026065,28.2,285.0404612
12,6,6,13,0.256711939,,8,,O8,32333329,32333329,,285.06165,-0.209148135,84.7,285.0615904
16,10,10,13,0.241472774,,5,,O5,14428318,14428318,,285.07688,-0.117231899,36.5,285.0768466
13,5,5,17,0.220367167,,7,,O7,71173936,71173936,,285.09801,-0.120029263,189.4,285.0979758
17,9,9,17,0.205128002,,4,,O4,13039805,13039805,,285.11326,-0.098277095,32.7,285.113232
14,4,4,21,0.184022395,,6,,O6,25488975,25488975,,285.13442,-0.206289062,66.3,285.1343612
18,8,8,21,0.16878323,,3,,O3,9578076,9578076,,285.14966,-0.149465745,23.4,285.1496174
15,3,3,25,0.147677623,,5,,O5,3653230,3653230,,285.17072,0.093206966,7.4,285.1707466
14,11,11,7,0.30076301,,7,,O7,11054684,11054684,,287.01969,0.124660073,27.3,287.0197258
11,6,6,11,0.279657403,,9,,O9,9871984,9871984,,287.04084,0.052187345,24.2,287.040855
15,10,10,11,0.264418238,,6,,O6,20985598,20985598,,287.05612,-0.030726049,54.1,287.0561112
19,14,14,11,0.249179073,,3,,O3,3607964,3607964,,287.0715,-0.461976063,7.3,287.0713674
12,5,5,15,0.243312631,,8,,O8,23319314,23319314,,287.07723,0.036157168,60.4,287.0772404
16,9,9,15,0.228073467,,5,,O5,25236000,25236000,,287.0925,-0.011912885,65.6,287.0924966
13,4,4,19,0.20696786,,7,,O7,15198644,15198644,,287.11363,-0.014698362,38.5,287.1136258
17,8,8,19,0.191728695,,4,,O4,16965954,16965954,,287.12888,0.00689551,43.3,287.128882
18,7,7,23,0.155383923,,3,,O3,5326084,5326084,,287.16524,0.095345444,11.9,287.1652674
14,10,10,10,0.270280542,1,6,,N1O6,3587431,3587431,,288.05141,-0.172955614,7.2,288.0513602
13,11,11,5,0.323708475,,8,,O8,4641847,4641847,,288.99899,0.001314538,10.1,288.9989904
14,10,10,9,0.287363703,,7,,O7,23213403,23213403,,289.03535,0.089192888,60.1,289.0353758
11,5,5,13,0.266258096,,9,,O9,5824495,5824495,,289.0564,0.36318124,13.2,289.056505
15,9,9,13,0.251018931,,6,,O6,33654654,33654654,,289.07172,0.14245563,88.2,289.0717612
19,13,13,13,0.235779766,,3,,O3,4108205,4108205,,289.08693,0.302261585,8.6,289.0870174
12,4,4,17,0.229913324,,8,,O8,5323218,5323218,,289.0928,0.312632731,11.9,289.0928904
16,8,8,17,0.214674159,,5,,O5,35546785,35546785,,289.10809,0.195704966,93.3,289.1081466
17,7,7,21,0.178329388,,4,,O4,19421125,19421125,,289.1445,0.11060178,49.9,289.144532
18,6,6,25,0.141984616,,3,,O3,4368872,4368872,,289.18088,0.129261295,9.3,289.1809174
14,9,9,12,0.256881235,1,6,,N1O6,3123624,3123624,,290.06699,0.069569787,6,290.0670102
16,7,7,20,0.184191692,1,4,,N1O4,3717135,3717135,,290.13969,0.31357265,7.6,290.139781
13,10,10,7,0.310309167,,8,,O8,12256230,12256230,,291.01465,-0.0330571,30.6,291.0146404
14,9,9,11,0.273964396,,7,,O7,34602761,34602761,,291.05098,0.157291663,90.7,291.0510258
18,13,13,11,0.258725231,,4,,O4,4476632,4476632,,291.06625,0.109871538,9.6,291.066282
15,8,8,15,0.237619624,,6,,O6,53095213,53095213,,291.08736,0.175823131,140.5,291.0874112
19,12,12,15,0.222380459,,3,,O3,4189563,4189563,,291.10266,0.025351537,8.8,291.1026674
16,7,7,19,0.201274852,,5,,O5,47809872,47809872,,291.12376,0.12565067,126.3,291.1237966
17,6,6,23,0.16493008,,4,,O4,13536499,13536499,,291.16015,0.109836104,34,291.160182
13,9,9,10,0.2798267,1,7,,N1O7,3247021,3247021,,292.04635,-0.257562265,6.3,292.0462748
14,8,8,14,0.243481928,1,6,,N1O6,3882863,3882863,,292.08267,-0.033620962,8,292.0826602
15,7,7,18,0.207137156,1,5,,N1O5,3305970,3305970,,292.11914,-0.323224731,6.4,292.1190456
12,10,10,5,0.333254632,,9,,O9,6446865,6446865,,292.99386,0.153518211,14.9,292.993905
13,9,9,9,0.29690986,,8,,O8,28702835,28702835,,293.03025,0.137801112,74.8,293.0302904
17,13,13,9,0.281670695,,5,,O5,6696065,6696065,,293.04554,0.022453506,15.6,293.0455466
14,8,8,13,0.260565088,,7,,O7,53044885,53044885,,293.06667,0.019722133,140.3,293.0666758
18,12,12,13,0.245325924,,4,,O4,5807012,5807012,,293.08192,0.040875601,13.2,293.081932
15,7,7,17,0.224220317,,6,,O6,117249207,117249207,,293.10305,0.038143238,313.2,293.1030612
19,11,11,17,0.208981152,,3,,O3,4587014,4587014,,293.11848,-0.554793373,9.9,293.1183174
16,6,6,21,0.187875545,,5,,O5,52168921,52168921,,293.13943,0.056559771,138,293.1394466
17,5,5,25,0.151530773,,4,,O4,14089083,14089083,,293.17585,-0.061465162,35.5,293.175832
13,8,8,12,0.266427392,1,7,,N1O7,5255753,5255753,,294.06193,-0.017751703,11.7,294.0619248
14,7,7,16,0.230082621,1,6,,N1O6,6037834,6037834,,294.09827,0.136620642,13.8,294.0983102
12,9,9,7,0.319855325,,9,,O9,13105390,13105390,,295.00949,0.220263713,32.8,295.009555
16,13,13,7,0.30461616,,6,,O6,3824955,3824955,,295.02481,0.003999325,7.8,295.0248112
13,8,8,11,0.283510553,,8,,O8,33795981,33795981,,295.04592,0.06907365,88.5,295.0459404
17,12,12,11,0.268271388,,5,,O5,8974490,8974490,,295.06117,0.090082668,21.7,295.0611966
14,7,7,15,0.247165781,,7,,O7,105092013,105092013,,295.0823,0.087365111,280.4,295.0823258
18,11,11,15,0.231926616,,4,,O4,5850810,5850810,,295.09759,-0.02717779,13.3,295.097582
15,6,6,19,0.210821009,,6,,O6,151389132,151389132,,295.11871,0.003998052,405.1,295.1187112
16,5,5,23,0.174476238,,5,,O5,21460459,21460459,,295.15512,-0.079348452,55.3,295.1550966
13,7,7,14,0.253028085,1,7,,N1O7,4374953,4374953,,296.07764,-0.220280445,9.3,296.0775748
14,6,6,18,0.216683313,1,6,,N1O6,3732262,3732262,,296.11395,0.034378318,7.6,296.1139602
15,13,13,5,0.327561624,,7,,O7,3228151,3228151,,297.0039,0.591843393,6.2,297.0040758
12,8,8,9,0.306456017,,9,,O9,16170183,16170183,,297.02515,0.1851018,41,297.025205
16,12,12,9,0.291216853,,6,,O6,11378130,11378130,,297.04044,0.071303081,28.1,297.0404612
13,7,7,13,0.270111246,,8,,O8,59065314,59065314,,297.06158,0.034941912,156.5,297.0615904
17,11,11,13,0.254872081,,5,,O5,11756781,11756781,,297.07688,-0.112496482,29.2,297.0768466
14,6,6,17,0.233766474,,7,,O7,154622461,154622461,,297.09798,-0.014204405,413.6,297.0979758
18,10,10,17,0.218527309,,4,,O4,10069768,10069768,,297.11329,-0.195279421,24.6,297.113232
15,5,5,21,0.197421702,,6,,O6,93392408,93392408,,297.13437,-0.029683878,248.8,297.1343612
19,9,9,21,0.182182537,,3,,O3,4880003,4880003,,297.1495,0.395019523,10.7,297.1496174
16,4,4,25,0.178815302,,3,1,O3S1,5275654,5275654,,297.15296,0.095506023,11.7,297.1529884
16,4,4,25,0.161076931,,5,,O5,4561395,4561395,,297.17079,-0.146111623,9.8,297.1707466
13,6,6,16,0.239628778,1,7,,N1O7,4125176,4125176,,298.0933,-0.252337503,8.6,298.0932248
15,12,12,7,0.314162317,,7,,O7,7890301,7890301,,299.01974,-0.047555726,18.7,299.0197258
12,7,7,11,0.29305671,,9,,O9,22496522,22496522,,299.04085,0.016652909,58,299.040855
16,11,11,11,0.277817545,,6,,O6,18367250,18367250,,299.05608,0.104261036,46.9,299.0561112
20,15,15,11,0.262578381,,3,,O3,4060315,4060315,,299.07121,0.526228577,8.4,299.0713674
13,6,6,15,0.256711939,,8,,O8,79569695,79569695,,299.07722,0.068142597,211.2,299.0772404
17,10,10,15,0.241472774,,5,,O5,18829352,18829352,,299.09248,0.055434022,48.1,299.0924966
14,5,5,19,0.220367167,,7,,O7,91596596,91596596,,299.11363,-0.014108685,243.5,299.1136258
18,9,9,19,0.205128002,,4,,O4,13871549,13871549,,299.12891,-0.093672332,34.8,299.128882
15,4,4,23,0.184022395,,6,,O6,17426761,17426761,,299.15003,-0.062911915,44.3,299.1500112
19,8,8,23,0.16878323,,3,,O3,3934418,3934418,,299.16523,0.124947325,8.1,299.1652674
15,11,11,10,0.283679849,1,6,,N1O6,3521962,3521962,,300.0513,0.20056533,7,300.0513602
14,12,12,5,0.337107782,,8,,O8,6108813,6108813,,300.99889,0.333489158,13.9,300.9989904
11,7,7,9,0.316002175,,10,,O10,5000821,5000821,,301.02019,-0.233938184,11,301.0201196
15,11,11,9,0.30076301,,7,,O7,18339291,18339291,,301.03534,0.118856131,46.8,301.0353758
12,6,6,13,0.297395774,,7,1,O7S1,3424668,3424668,,301.03865,0.321486523,6.7,301.0387468
19,15,15,9,0.285523845,,4,,O4,3237089,3237089,,301.0506,0.106227646,6.2,301.050632
12,6,6,13,0.279657403,,9,,O9,24506595,24506595,,301.05652,-0.049891299,63.4,301.056505
16,10,10,13,0.264418238,,6,,O6,27231465,27231465,,301.07172,0.13677769,70.7,301.0717612
20,14,14,13,0.249179073,,3,,O3,3218031,3218031,,301.08682,0.655557658,6.2,301.0870174
13,5,5,17,0.243312631,,8,,O8,46790897,46790897,,301.09287,0.06768642,123.2,301.0928904
17,9,9,17,0.228073467,,5,,O5,29914359,29914359,,301.10813,0.05506294,77.9,301.1081466
14,4,4,21,0.20696786,,7,,O7,21020927,21020927,,301.12926,0.052402411,54,301.1292758
18,8,8,21,0.191728695,,4,,O4,17572613,17572613,,301.14454,-0.026632062,44.7,301.144532
19,7,7,25,0.155383923,,3,,O3,3930354,3930354,,301.18088,0.124111117,8.1,301.1809174
14,11,11,8,0.306625314,1,7,,N1O7,4213030,4213030,,302.03047,0.512464258,8.8,302.0306248
15,10,10,12,0.270280542,1,6,,N1O6,3415088,3415088,,302.06702,-0.032509674,6.7,302.0670102
16,9,9,16,0.23393577,1,5,,N1O5,4060761,4060761,,302.10319,0.680495165,8.4,302.1033956
14,11,11,7,0.323708475,,8,,O8,11436410,11436410,,303.01459,0.166262264,28.1,303.0146404
11,6,6,11,0.302602868,,10,,O10,4987837,4987837,,303.03573,0.130611314,10.9,303.0357696
15,10,10,11,0.287363703,,7,,O7,37538560,37538560,,303.05097,0.184061083,98,303.0510258
19,14,14,11,0.272124538,,4,,O4,4902594,4902594,,303.06639,-0.356424012,10.7,303.066282
12,5,5,15,0.266258096,,9,,O9,10039171,10039171,,303.07211,0.148413172,24.4,303.072155
16,9,9,15,0.251018931,,6,,O6,45057797,45057797,,303.08736,0.168861847,118.1,303.0874112
13,4,4,19,0.229913324,,8,,O8,7473352,7473352,,303.1085,0.133219275,17.5,303.1085404
17,8,8,19,0.214674159,,5,,O5,42758923,42758923,,303.12375,0.15366626,111.9,303.1237966
18,7,7,23,0.178329388,,4,,O4,18366480,18366480,,303.16017,0.039516733,46.7,303.160182
14,10,10,10,0.293226007,1,7,,N1O7,5966176,5966176,,304.0463,-0.082948229,13.5,304.0462748
15,9,9,14,0.256881235,1,6,,N1O6,4918113,4918113,,304.0826,0.197906385,10.7,304.0826602
13,11,11,5,0.346653939,,9,,O9,4807767,4807767,,304.99382,0.278628191,10.4,304.993905
14,10,10,9,0.310309167,,8,,O8,28029269,28029269,,305.03022,0.230730856,72.5,305.0302904
18,14,14,9,0.295070003,,5,,O5,6336788,6336788,,305.0455,0.152698181,14.5,305.0455466
15,9,9,13,0.273964396,,7,,O7,59190610,59190610,,305.0666,0.248404385,155.9,305.0666758
19,13,13,13,0.258725231,,4,,O4,4708689,4708689,,305.082,-0.222956829,10.1,305.081932
16,8,8,17,0.237619624,,6,,O6,75453776,75453776,,305.10301,0.167746268,199.4,305.1030612
17,7,7,21,0.201274852,,5,,O5,49713485,49713485,,305.1394,0.152651191,130.6,305.1394466
18,6,6,25,0.16493008,,4,,O4,10330570,10330570,,305.17576,0.235863697,25.2,305.175832
14,9,9,12,0.2798267,1,7,,N1O7,8676958,8676958,,306.06185,0.244329314,20.7,306.0619248
15,8,8,16,0.243481928,1,6,,N1O6,4503256,4503256,,306.0981,0.686641817,9.6,306.0983102
13,10,10,7,0.333254632,,9,,O9,14497304,14497304,,307.00951,0.146509772,36.2,307.009555
17,14,14,7,0.318015467,,6,,O6,4608532,4608532,,307.02481,0.003843012,9.8,307.0248112
14,9,9,11,0.29690986,,8,,O8,48066574,48066574,,307.0459,0.131510939,125.7,307.0459404
18,13,13,11,0.281670695,,5,,O5,7680778,7680778,,307.06122,-0.076271767,18,307.0611966
15,8,8,15,0.260565088,,7,,O7,102110213,102110213,,307.08227,0.181644775,269.7,307.0823258
19,12,12,15,0.245325924,,4,,O4,4764353,4764353,,307.09753,0.169261834,10.2,307.097582
16,7,7,19,0.224220317,,6,,O6,129858555,129858555,,307.11863,0.264327431,343.6,307.1187112
17,6,6,23,0.187875545,,5,,O5,46162930,46162930,,307.15503,0.216763129,120.6,307.1550966
18,5,5,27,0.151530773,,4,,O4,5143976,5143976,,307.19146,0.071551138,11.3,307.191482
13,9,9,10,0.302772164,1,8,,N1O8,5343717,5343717,,308.04115,0.127839722,11.8,308.0411894
14,8,8,14,0.266427392,1,7,,N1O7,9013848,9013848,,308.07761,-0.11432218,21.6,308.0775748
15,7,7,18,0.230082621,1,6,,N1O6,7535244,7535244,,308.11388,0.260228066,17.6,308.1139602
13,9,9,9,0.319855325,,9,,O9,26529646,26529646,,309.02524,-0.113324413,68,309.025205
