C,DBE 1,DBE,H,KMD,N,O,S,class,intensity 1,intensity,isotope kind,m/z,ppm,s/n,theo
26,14,14,26,0.461550558,1,12,,N1O12,6372474,6372474,,544.14644,-0.720799318,8.7,544.1460478
27,13,13,30,0.425205786,1,11,,N1O11,5572679,5572679,,544.18279,-0.655699409,7.3,544.1824332
23,17,17,13,0.587668034,,16,,O16,26686649,26686649,,545.02092,-0.023522217,43,545.0209072
24,16,16,17,0.551323262,,15,,O15,66546822,66546822,,545.05735,-0.105346907,110.4,545.0572926
21,11,11,21,0.530217655,,17,,O17,8212072,8212072,,545.07865,-0.41869223,11.8,545.0784218
25,15,15,21,0.514978491,,14,,O14,63003731,63003731,,545.09378,-0.187160674,104.4,545.093678
22,10,10,25,0.493872884,,16,,O16,7619381,7619381,,545.1151,-0.537171429,10.8,545.1148072
26,14,14,25,0.478633719,,13,,O13,57857056,57857056,,545.13004,0.042888664,95.7,545.1300634
23,9,9,29,0.457528112,,15,,O15,9263618,9263618,,545.15129,-0.178702902,13.6,545.1511926
27,13,13,29,0.442288947,,12,,O12,65883117,65883117,,545.16656,-0.204011271,109.3,545.1664488
24,8,8,33,0.42118334,,14,,O14,5420752,5420752,,545.18784,-0.480605411,7.1,545.187578
28,12,12,33,0.405944175,,11,,O11,78660538,78660538,,545.20291,-0.139067692,130.9,545.2028342
29,11,11,37,0.369599404,,10,,O10,54096775,54096775,,545.23932,-0.184176223,89.4,545.2392196
30,10,10,41,0.333254632,,9,,O9,19395412,19395412,,545.2757,-0.174260684,30.7,545.275605
23,16,16,16,0.557185566,1,15,,N1O15,6391314,6391314,,546.05226,0.51566448,8.7,546.0525416
24,15,15,20,0.520840794,1,14,,N1O14,10470111,10470111,,546.08876,0.305774191,15.6,546.088927
25,14,14,24,0.484496023,1,13,,N1O13,5806764,5806764,,546.12527,0.077601055,7.7,546.1253124
26,13,13,28,0.448151251,1,12,,N1O12,5647225,5647225,,546.16159,0.197340642,7.4,546.1616978
22,17,17,11,0.610613499,,17,,O17,5984985,5984985,,547.00061,-0.801133386,8,547.0001718
26,21,21,11,0.595374334,,14,,O14,6713027,6713027,,547.01558,-0.277908249,9.3,547.015428
23,16,16,15,0.574268727,,16,,O16,49795493,49795493,,547.03685,-0.535284335,82.1,547.0365572
27,20,20,15,0.559029562,,13,,O13,8547216,8547216,,547.0522,-0.70673397,12.4,547.0518134
24,15,15,19,0.537923955,,15,,O15,74996082,74996082,,547.0732,-0.470540727,124.7,547.0729426
28,19,19,19,0.52268479,,12,,O12,9987932,9987932,,547.08839,-0.34952335,14.8,547.0881988
25,14,14,23,0.519317554,,12,1,O12S1,6177878,6177878,,547.09253,-1.755135983,8.3,547.0915698
25,14,14,23,0.501579183,,14,,O14,66259262,66259262,,547.10961,-0.515473024,110,547.109328
29,18,18,23,0.486340019,,11,,O11,4918057,4918057,,547.12488,-0.540681425,6.2,547.1245842
26,13,13,27,0.465234412,,13,,O13,72083723,72083723,,547.14597,-0.469016011,119.8,547.1457134
27,12,12,31,0.42888964,,12,,O12,93325527,93325527,,547.18239,-0.532217886,155.7,547.1820988
28,11,11,35,0.392544868,,11,,O11,85481636,85481636,,547.21868,-0.357846282,142.5,547.2184842
29,10,10,39,0.356200096,,10,,O10,42709105,42709105,,547.25509,-0.402774123,70.1,547.2548696
30,9,9,43,0.319855325,,9,,O9,9302077,9302077,,547.29143,-0.319793343,13.6,547.291255
23,15,15,18,0.543786259,1,15,,N1O15,5228783,5228783,,548.06852,-0.599232185,6.7,548.0681916
24,14,14,22,0.507441487,1,14,,N1O14,5484475,5484475,,548.10486,-0.516361497,7.2,548.104577
25,13,13,26,0.471096716,1,13,,N1O13,5923464,5923464,,548.1411,-0.251066987,7.9,548.1409624
